taxi_zone,P(mode1),P(mode2),P(mode3),P(mode4),P(mode5)
48.0,203.91597304863882,118.72850821615349,33.11652771340352,9901.540401881146,7494.698589140658
49.0,1.7683011577589658,65.95563192060051,21.37660623850582,14754.389306877954,1677.5101538051802
50.0,146.27197991594,125.37935191349379,50.83915342270703,3923.8296860133205,3148.6798287345387
51.0,0.7310819117936486,37.335418603044516,14.411068913122907,12632.579159743651,1426.9432708283882
52.0,18.984391944799793,34.611032680095356,4.654522953213469,3687.890123715664,807.8599287062277
53.0,0.1778672247908533,25.367775424951308,8.102927110911665,6827.600700525394,998.7507297139522
54.0,0.9446632932563606,19.401426910724734,3.7593900552999857,1818.0606953447261,310.83382439599296
55.0,0.5276842056519512,44.40652646313205,22.726755030923073,13653.6753283568,2552.6637059434943
56.0,0.6712781491292944,118.72402769694126,39.76746754222671,13803.920531317988,2105.9166952937135
57.0,0.0,0.0,0.0,937.8465873512837,39.15341264871634
58.0,0.2414220656599474,48.71285229076629,10.319943229266764,2099.4545454545455,407.27123695976155
60.0,0.2075479687088464,33.536774959734636,17.12973593534845,6060.950376454483,645.1755646817248
61.0,2.634780716581662,205.15032484443418,119.99708625744071,39681.761806643044,3062.4560015385036
62.0,0.4514163440784888,32.62977775639697,19.642830481488236,13526.641417750465,2816.634557667572
63.0,0.0719388557865933,12.776608645140731,6.904216888071826,16365.165296285795,1032.0819393252057
64.0,1.6607768529895401,132.53762862421124,26.36880949727454,6141.695972773681,774.7368122518435
65.0,5.329024526645943,22.513014640890436,5.022806605950791,4060.508358841535,719.6267953849776
66.0,6.318338132661838,57.706893169573924,12.783965677860325,3439.198009608785,342.9927934111187
67.0,0.49139552269785464,86.58227996650068,31.750393906118966,13577.98635674583,2156.189573858851
68.0,291.37415527913595,206.2185115750669,52.10487887849681,8041.134821951696,5297.167632315604
69.0,1.2166062429250306,84.84533393525348,42.763792996935905,18049.52975080522,2360.6445160196645
70.0,2.8886173379086713,50.67152964137413,12.444494827927471,6532.143586569704,885.8517716230853
71.0,1.0125338526477823,83.49189624877316,62.70093031958016,20692.481948353936,1230.3126912250643
72.0,1.325751159184514,128.526471022784,111.16395288939208,19379.20682683159,1488.7769980970502
73.0,0.5353883542082469,154.93921554196123,53.769840548274956,7566.601025641025,1640.15452991453
74.0,29.419265103202676,50.83596848427693,25.20222117549333,18066.309456158717,2569.233089078311
75.0,105.3132929128331,88.84634728322737,51.445568662667576,17329.1447567518,4199.250034389473
76.0,1.3918500755674512,83.46496062884454,61.04970419023565,30155.750060547347,1972.3434245580042
77.0,0.33347567485455604,31.0257394650646,21.977704175484266,9593.025916870416,741.637163814181
78.0,0.5759259741601743,88.94358249782715,40.603993654027356,11237.26923076923,1335.6072671047546
79.0,155.57075417682827,161.2992066988371,64.58337070073904,14587.812359994728,6109.734308428866
80.0,0.953992797324015,53.42807471091114,14.77809809109209,16022.482954912995,1435.3568794876771
81.0,1.5262243675465819,170.94389734423063,79.32475008309457,8802.793283412753,765.4118447923757
82.0,4.394681632497373,68.66138372831121,25.14835252801995,26447.95376908685,2771.8418130243226
83.0,4.344473127463309,64.98293133029169,23.566138299662104,8673.381617219313,738.7248400232694
84.0,0.028421561407843257,38.32173863157533,6.404325170567348,8998.635190431225,435.6103242052251
85.0,0.5446189829347519,34.34857781961821,24.539066314126764,11585.144870790917,710.4228660924041
86.0,1.8259586089913453,169.43210391185232,52.278599558967606,8986.404265775505,2513.0590721446824
87.0,29.367232980877837,38.655599681594325,7.530883125976261,6230.070517191,2820.3757670205514
88.0,24.289815570853,15.931491605440046,3.1441220580456988,850.8596287703016,394.7749419953596
89.0,3.6529387152002233,188.62813377604627,92.40588403049259,39917.00445930881,3450.3085841694538
90.0,376.2973663262169,262.9206511904558,59.30868151245356,6730.473300970873,3230.0
91.0,0.8221963454221108,65.49793859815328,43.244009361418556,26212.481226697473,1872.954628997532
92.0,0.3761789805701634,25.147158902575242,5.553694420723962,16311.002383488007,5543.920584208124
94.0,0.1920141843767269,29.554259046970483,12.8353747087277,7091.402247191011,1185.0161048689138
95.0,1.565466154758189,38.667613435222144,7.719269985188729,32723.69287324432,3615.3547771805097
96.0,0.0,0.0,0.0,298.47058823529414,55.529411764705884
97.0,2.0298161844185465,21.65371519507293,6.881839645243506,11054.883392226147,1716.5512367491165
98.0,0.9592214407184732,67.58353540913515,20.792535347338667,5251.77473065622,480.8899771465883
100.0,65.80141110815003,18.93151615182532,3.5775750231296626,472.46118721461187,406.2283105022831
101.0,1.7976164098177363,107.39156846395699,17.019712611718518,5760.174081237911,638.6170212765958
102.0,0.25318754966909873,48.417315569099145,16.23431737110985,12521.881221339894,1567.213958170227
106.0,0.17030768128505103,3.485294025019821,0.6328598321566664,3029.798076923077,310.91346153846155
107.0,308.07198409997324,183.3288447284757,72.38676675353916,8430.844519966015,3823.367884451997
108.0,0.5148901103380866,54.480609844383174,29.071219246749727,8122.328605200946,1206.6046755975833
109.0,0.0,0.0,0.0,12954.24906400428,634.7509359957212
112.0,1.0054255539428203,67.39639456743953,15.402594663011905,15970.560767453799,2084.634817761807
113.0,302.59390112348075,191.6117200635187,45.00457549468393,5419.801120755961,2443.9886825623557
114.0,63.586875034134565,62.92039700309868,14.81131592233905,3223.055514867438,2277.6258971729894
115.0,0.0,0.0,0.0,7338.710188855211,709.289811144789
116.0,22.310108932103745,90.66163351077499,33.94814400277397,17708.92845113795,1348.151662416398
117.0,0.18165182409697386,31.512921747004818,9.631216410959754,9882.76748999586,771.9067200220782
118.0,0.07301420577769117,72.21947423018784,13.201530052343315,10164.94399129962,592.5619902120718
119.0,1.4851146774656387,102.3096503794289,57.17261870438235,10490.508674531575,1465.5239417071477
121.0,0.0,0.0,0.0,9349.61485826002,1482.3851417399803
122.0,0.8376225321184277,73.28484622691342,35.16906249694216,6537.499522079908,325.2089466641178
123.0,0.8860592655658561,77.65743184206738,31.673620799095865,11896.80850087212,2457.974387221151
124.0,0.0,0.0,0.0,7717.661979304856,555.3380206951446
125.0,51.340118395302014,51.085790985840546,7.095248748033408,960.6570155902003,334.8218262806236
